BHR,Bahrain,Lower,3.2639,3.2726,3.2633,3.2555,3.2595,3.2567,3.2336,3.1842,3.1180,3.0439,2.9628,2.8723,2.7742,2.6571,2.5388,2.4241,2.3262,2.2374,2.1591,2.0885,2.0247,1.9641,1.9013,1.8301,1.7531,1.6728,1.5877,1.5058,1.4210,1.3399
BHR,Bahrain,Median,3.7147,3.6644,3.6233,3.5873,3.5563,3.5261,3.4929,3.4534,3.3950,3.3175,3.2213,3.1101,2.9884,2.8695,2.7585,2.6544,2.5581,2.4693,2.3877,2.3098,2.2390,2.1766,2.1214,2.0731,2.0268,1.9787,1.9298,1.8782,1.8241,1.7752
BHR,Bahrain,Upper,4.1878,4.0723,3.9751,3.9087,3.8609,3.8393,3.8364,3.8364,3.8065,3.7298,3.5957,3.4307,3.2630,3.1155,2.9827,2.8668,2.7648,2.6722,2.5910,2.5147,2.4513,2.3947,2.3520,2.3380,2.3545,2.3875,2.4317,2.4758,2.5041,2.5252
BGD,Bangladesh,Lower,21.8948,27.0537,20.0186,19.6289,19.2974,18.9425,17.9390,16.2588,14.1098,11.9421,10.1634,8.9571,8.6983,9.0983,9.6870,10.2735,10.5631,10.4952,10.0135,9.2747,8.4635,7.5949,6.8148,6.1626,5.6848,5.4132,5.2131,5.0442,4.8068,4.5261
BGD,Bangladesh,Median,24.3935,30.3127,22.2618,21.5272,21.0080,20.5025,19.5268,17.6474,15.2235,12.9108,11.0535,9.9031,9.5731,9.8847,10.4847,11.0664,11.4016,11.3081,10.7810,9.9876,9.0926,8.2027,7.4276,6.8146,6.3755,6.1399,6.0953,6.2774,6.5757,6.8756
BGD,Bangladesh,Upper,27.2460,34.0572,24.7263,23.5115,22.7688,22.2017,21.2299,19.1478,16.4424,13.9242,12.0261,10.9252,10.5085,10.7072,11.3009,11.9108,12.3194,12.1819,11.6041,10.7652,9.7723,8.8951,8.1111,7.5274,7.1418,6.9609,7.1294,7.7505,8.9741,10.6918
BRB,Barbados,Lower,2.3535,2.3650,2.3741,2.3703,2.3566,2.3370,2.3189,2.2945,2.2672,2.2398,2.2111,2.1844,2.1581,2.1272,2.0943,2.0538,2.0080,1.9544,1.8980,1.8351,1.7740,1.7091,1.6364,1.5636,1.4909,1.4189,1.3467,1.2750,1.2056,1.1425
BRB,Barbados,Median,2.8576,2.8214,2.7819,2.7444,2.7047,2.6693,2.6353,2.6075,2.5799,2.5487,2.5181,2.4886,2.4573,2.4254,2.3914,2.3568,2.3189,2.2780,2.2415,2.2018,2.1625,2.1207,2.0774,2.0308,1.9865,1.9404,1.8909,1.8417,1.7892,1.7391
BRB,Barbados,Upper,3.5036,3.3798,3.2775,3.1997,3.1285,3.0719,3.0243,2.9893,2.9503,2.9139,2.8785,2.8462,2.8145,2.7845,2.7495,2.7194,2.6851,2.6643,2.6420,2.6295,2.6268,2.6282,2.6297,2.6333,2.6314,2.6150,2.6136,2.6097,2.6151,2.6151
BLR,Belarus,Lower,3.9159,3.8167,3.7075,3.5957,3.4805,3.3676,3.2570,3.1487,3.0452,2.9445,2.8466,2.7492,2.6544,2.5596,2.4681,2.3811,2.2952,2.2106,2.1251,2.0379,1.9521,1.8645,1.7751,1.6835,1.5904,1.4951,1.3976,1.2981,1.1990,1.1082
BLR,Belarus,Median,4.0430,3.9233,3.8048,3.6875,3.5721,3.4594,3.3486,3.2421,3.1385,3.0377,2.9390,2.8408,2.7446,2.6493,2.5576,2.4678,2.3801,2.2934,2.2075,2.1203,2.0296,1.9372,1.8444,1.7511,1.6584,1.5668,1.4771,1.3916,1.3126,1.2427
BLR,Belarus,Upper,4.1746,4.0320,3.9049,3.7848,3.6693,3.5572,3.4461,3.3407,3.2341,3.1333,3.0338,2.9351,2.8390,2.7437,2.6512,2.5610,2.4749,2.3877,2.3024,2.2171,2.1242,2.0282,1.9280,1.8259,1.7278,1.6389,1.5607,1.4898,1.4256,1.3678
BEL,Belgium,Lower,1.9483,1.8945,1.8376,1.7802,1.7226,1.6659,1.6099,1.5555,1.5016,1.4485,1.3974,1.3469,1.2969,1.2476,1.2004,1.1556,1.1151,1.0789,1.0467,1.0164,0.9882,0.9610,0.9338,0.9071,0.8797,0.8516,0.8235,0.7950,0.7666,0.7391
