"","Country","Reported.number.of.people.receiving.ART","Estimated.number.of.people.living.with.HIV","Estimated.ART.coverage.among.people.living.with.HIV....","WHO.Region"
"96","Malawi","814000","1000000[940000–1100000]","78[70–84]","Africa"
"97","Malaysia","41500","87000[77000–98000]","48[42–53]","Western Pacific"
"98","Maldives","Nodata","Nodata","Nodata","South-East Asia"
"99","Mali","47100","150000[120000–190000]","31[25–39]","Africa"
"100","Malta","Nodata","Nodata","Nodata","Europe"
"101","Mauritania","3000","5600[4500–7200]","54[44–69]","Africa"
"102","Mauritius","2800","13000[10000–15000]","22[18–26]","Africa"
"103","Mexico","165000","230000[200000–270000]","70[60–80]","Americas"
"104","Mongolia","200","600[530–670]","32[29–36]","Western Pacific"
"105","Montenegro","160","500[500–500]","40[34–46]","Europe"
"106","Morocco","13600","21000[17000–28000]","65[52–86]","Eastern Mediterranean"
"107","Mozambique","1213000","2200000[1700000–2700000]","56[44–68]","Africa"
"108","Myanmar","167000","240000[210000–270000]","70[63–79]","South-East Asia"
"109","Namibia","184000","200000[190000–220000]","92[84–95]","Africa"
"110","Nepal","16900","30000[26000–34000]","56[50–65]","South-East Asia"
"111","Netherlands","Nodata","Nodata","Nodata","Europe"
"112","New Zealand","2700","3600[3100–4200]","73[62–84]","Western Pacific"
"113","Nicaragua","5000","9400[7600–12000]","53[43–68]","Americas"
"114","Niger","19800","36000[30000–43000]","54[45–65]","Africa"
"115","Nigeria","1016000","1900000[1400000–2600000]","53[40–71]","Africa"
"116","Norway","4700","5800[5200–6300]","82[74–90]","Europe"
"117","Oman","1300","3200[2900–3600]","41[37–45]","Eastern Mediterranean"
"118","Pakistan","15800","160000[140000–190000]","10[9–11]","Eastern Mediterranean"
"119","Panama","14200","26000[24000–29000]","54[48–59]","Americas"
"120","Papua New Guinea","29400","45000[41000–50000]","65[58–71]","Western Pacific"
"121","Paraguay","8500","21000[16000–31000]","40[31–58]","Americas"
"122","Peru","57800","79000[58000–110000]","73[54–95]","Americas"
"123","Philippines","33600","77000[65000–90000]","44[37–51]","Western Pacific"
"124","Poland","Nodata","Nodata","Nodata","Europe"
"125","Portugal","37200","41000[36000–46000]","90[78–95]","Europe"
"126","Qatar","150","Nodata","Nodata","Eastern Mediterranean"
"127","Republic of Korea","Nodata","Nodata","Nodata","Western Pacific"
"128","Republic of Moldova","6000","17000[14000–23000]","34[27–45]","Europe"
